State,District,Route
WEST BENGAL,North 24 Parganas,"Kamduni B.O,Kamduni Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kanchanpur B.O,Hingalganj Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kanchiara B.O,Habra - II Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kankpul B.O,Habra - II Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kanmari B.O,Kanmari Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kantabagan B.O,Kantabagan Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kapileswarpur B.O,Kapileswarpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Karanga B.O,Karanga Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Karnolkora B.O,Karnolkora Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Karua Chandpur B.O,Deganga Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kashinathpur B.O,Kashinathpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Kathur B.O,Kathur Dist:North 24 Parganas,WB"
